Country,Continent,Year,Import (US$ Billion)
Sierra Leone,Africa,2000,0.15852354
El Salvador,North America,2000,2.79161085
San Marino,Europe,2000,0.05787314
Somalia,Africa,2000,0.10985955
Sao Tome and Principe,Africa,2000,0.02173376
Suriname,South America,2000,0.55517605
Slovakia,Europe,2000,11.46358851
Slovenia,Europe,2000,8.40568655
Sweden,Europe,2000,87.45911928
Eswatini,Africa,2000,0.32311142
Seychelles,Africa,2000,0.1886654
Syria,Asia,2000,5.04428447
Chad,Africa,2000,0.09792295
Togo,Africa,2000,0.3320345
Thailand,Asia,2000,74.23490019
Tajikistan,Asia,2000,0.42668019
Turkmenistan,Asia,2000,1.94716906
Timor-Leste,Asia,2000,0.03517482
Tonga,Oceania,2000,0.01942121
Trinidad and Tobago,North America,2000,4.07603668
Tunisia,Africa,2000,6.00817859
Turkey,Asia,2000,25.98113489
Tuvalu,Oceania,2000,0.00120744
Tanzania,Africa,2000,0.89186163
Uganda,Africa,2000,0.40568038
Ukraine,Europe,2000,14.6119423
Uruguay,South America,2000,2.79037052
United States,North America,2000,819.3952936
Uzbekistan,Asia,2000,3.08659743
Holy See,Europe,2000,0.00425857
St. Vincent and the Grenadines,North America,2000,0.11606308
Venezuela,South America,2000,29.57689127
Vietnam,Asia,2000,14.17391231
Vanuatu,Oceania,2000,0.10615835
Samoa,Oceania,2000,0.05730278
Yemen,Asia,2000,3.52470416
South Africa,Africa,2000,38.27419997
DR Congo,Africa,2000,1.21459327
Zambia,Africa,2000,0.65962711
Zimbabwe,Africa,2000,2.10187378
Afghanistan,Asia,2001,0.07721927
Angola,Africa,2001,6.57419551
Albania,Europe,2001,0.36531073
Andorra,Europe,2001,0.07734709
United Arab Emirates,Asia,2001,35.15509153
Argentina,South America,2001,27.87744396
Armenia,Europe,2001,0.2539334
Antigua and Barbuda,North America,2001,0.2166228
Australia,Oceania,2001,68.35697641
Austria,Europe,2001,59.18113634
Azerbaijan,Europe,2001,1.48333489
Burundi,Africa,2001,0.03705427
Belgium,Europe,2001,146.0360106
Benin,Africa,2001,0.45262072
Bangladesh,Asia,2001,6.69726946
Bulgaria,Europe,2001,5.38022179
Bahrain,Asia,2001,3.02905055
Bahamas,North America,2001,1.16487977
Bosnia and Herzegovina,Europe,2001,0.94403176
Belarus,Europe,2001,6.92340861
Belize,North America,2001,0.28628859
Bolivia,South America,2001,1.20043014
Brazil,South America,2001,61.99881603
